title,artist,top_genre,year,bpm,energy,danceability,db,valence
Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,90
#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,45
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,51
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,50
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,73
People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,61
Overdose,Ciara,dance pop,2013,107,70,77,-6,79
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,45
Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,58
Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,7
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,66
Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,45
All of Me,John Legend,neo mellow,2014,120,26,42,-7,33
Stay With Me,Sam Smith,pop,2014,84,42,42,-6,18
Summer,Calvin Harris,dance pop,2014,128,86,60,-4,74
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,96
Rude,MAGIC!,pop,2014,144,76,77,-5,93
Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,94
Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,35
Hey Brother,Avicii,big room,2014,125,78,55,-5,46
Maps,Maroon 5,pop,2014,120,71,74,-6,88
Treasure,Bruno Mars,pop,2014,116,69,87,-5,94
Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,24
Problem,Ariana Grande,dance pop,2014,103,81,66,-5,63
Pompeii,Bastille,metropopolis,2014,127,72,68,-6,57
Team,Lorde,art pop,2014,100,58,69,-7,42
Love Me Again,John Newman,pop,2014,126,89,50,-5,21
Latch,Disclosure,house,2014,122,73,50,-5,52
Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,20
Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,71
Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,33
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,44
Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,38
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,76
Gorilla,Bruno Mars,pop,2014,140,54,72,-7,64
human,Christina Perri,dance pop,2014,144,49,44,-6,25
Young Girls,Bruno Mars,pop,2014,126,75,56,-5,50
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,72
Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,74
This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,80
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,98
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,-6,52
#SELFIE,The Chainsmokers,electropop,2014,128,92,79,-3,66
Partition,Beyoncé,dance pop,2014,186,44,41,-12,17
Birthday,Katy Perry,dance pop,2014,126,67,72,-5,84
G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,-3,57
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,46
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,-6,25
Wings,Birdy,neo mellow,2014,83,71,47,-5,22
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,-4,82
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,-4,4
Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,9
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,16
Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,-6,90
Chandelier,Sia,australian dance,2014,174,78,29,-3,62
XO,Beyoncé,dance pop,2014,170,79,47,-9,21
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,-4,55
Not About Angels,Birdy,neo mellow,2014,116,14,41,-10,23
Drunk in Love,Beyoncé,dance pop,2014,140,62,59,-7,40
Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,65
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,68,-4,64
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,-5,61
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,56
Words as Weapons,Birdy,neo mellow,2014,120,35,53,-9,19
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,-7,56
Sheezus,Lily Allen,dance pop,2014,130,50,78,-7,39
Cannonball,Lea Michele,hollywood,2014,92,82,56,-3,57
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,-9,53
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,-6,59
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,46
Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,59
I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,49
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14
Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,52
Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,93
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,44
Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,41
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,35
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,28
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,44
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,79
Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,76
Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,66
My House,Flo Rida,dance pop,2015,94,70,69,-5,74
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,45
Night Changes,One Direction,boy band,2015,120,52,67,-8,37
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,34
Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,28
Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,24
Animals,Maroon 5,pop,2015,190,74,28,-6,33
Blame,Calvin Harris,dance pop,2015,128,86,41,-4,35
Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,59
Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,28
Don't,Ed Sheeran,pop,2015,95,61,81,-7,85
Elastic Heart,Sia,australian dance,2015,130,79,42,-5,50
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,55
Hello,Adele,british soul,2015,158,45,48,-6,29
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,83
43776,Beyoncé,dance pop,2015,136,71,75,-5,56
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,62
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,53
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,91
Company,Justin Bieber,canadian pop,2015,95,80,59,-5,43
Sing,Ed Sheeran,pop,2015,120,67,82,-4,94
Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,45
Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,85
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,71
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,31
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,48
Up,Olly Murs,dance pop,2015,115,85,69,-5,64
Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,64
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,8
Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,44
I Want You To Know,Zedd,complextro,2015,130,85,58,-3,37
Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,95
I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,8
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,33
I Lived,OneRepublic,dance pop,2015,120,85,59,-5,34
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,79
Easy Love,Sigala,dance pop,2015,124,94,68,-4,65
The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,21
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,60
BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,74
Sugar,Maroon 5,pop,2015,120,79,75,-7,88
Focus,Ariana Grande,dance pop,2015,100,88,67,-6,79
All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,96
On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,74
Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,85
Broken Arrows,Avicii,big room,2015,116,67,63,-7,29
Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,40
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,76
Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,52
Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,48
American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,48
Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,73
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,60
Alive,Sia,australian dance,2015,100,76,51,-4,44
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,64
Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,86
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,78
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,28
Heroes (we could be),Alesso,big room,2015,126,75,52,-4,35
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,4
Perfect,One Direction,boy band,2015,100,82,65,-5,40
Ghosttown,Madonna,dance pop,2015,79,55,54,-7,9
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,59
Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,27
Living For Love,Madonna,dance pop,2015,123,79,67,-5,39
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,26
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,66
Steal My Girl,One Direction,boy band,2015,77,76,47,-6,52
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,93
We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8
St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,9
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,28
Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,72
Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,79
Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,83
Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,39
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,54
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,8
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,88
Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,65
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,27
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,52
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,90
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,42
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,17
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,37
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,47
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,15
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,30
7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,34
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,70
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,59
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,45
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,42
Work,Rihanna,barbadian pop,2016,92,53,73,-6,56
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,76
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,38
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,69
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,29
