title,artist,top_genre,year,bpm,energy,danceability,db,valence
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,80
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,64
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,71
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,71
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,43
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,54
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,82
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,38
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,14
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,61
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,47
Marry You,Bruno Mars,pop,2010,145,83,62,-5,48
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,63
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,71
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,78
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,33
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,83
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,44
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,37
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,76
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,40
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,45
Take It Off,Kesha,dance pop,2010,125,68,73,-5,74
Misery,Maroon 5,pop,2010,103,81,70,-5,73
All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,65
Animal,Neon Trees,indie pop,2010,148,83,48,-6,74
Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,88
I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,73
Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,59
California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,40
3,Britney Spears,dance pop,2010,135,71,70,-2,79
My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,83
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,52
Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,41
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,55
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,80
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,7
If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,79
Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,84
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,26
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,72
Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10
Hard,Rihanna,barbadian pop,2010,182,75,31,-4,16
Loca,Shakira,colombian pop,2010,112,87,80,-4,85
You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,7
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,57
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,65
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,58
Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,63
Hello,Martin Solveig,big room,2010,128,98,67,-3,45
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,16
Someone Like You,Adele,british soul,2011,135,33,56,-8,28
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,53
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,43
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,52
Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,62
Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,65
Grenade,Bruno Mars,pop,2011,110,56,71,-7,23
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,81
What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,88
Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,49
Monster,Kanye West,chicago rap,2011,125,69,63,-6,10
Marry You,Bruno Mars,pop,2011,145,83,62,-5,48
Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,55,-4,30
Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,35
We R Who We R,Kesha,dance pop,2011,120,82,74,-5,65
Price Tag,Jessie J,australian pop,2011,175,83,64,-4,68
Good Life,OneRepublic,dance pop,2011,95,69,63,-8,65
Just Can?�t Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,26
On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,57
What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,58
Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,70
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,40
Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,80
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,36
E.T.,Katy Perry,dance pop,2011,152,87,62,-5,76
Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,45
I Wanna Go,Britney Spears,dance pop,2011,130,55,70,-7,79
Blow,Kesha,dance pop,2011,120,73,75,-4,81
You And I,Lady Gaga,dance pop,2011,127,70,52,-5,52
Judas,Lady Gaga,dance pop,2011,131,93,66,-4,53
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,65,-4,32
Please Don't Go,Mike Posner,dance pop,2011,120,88,70,-4,66
We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,60
Marry The Night,Lady Gaga,dance pop,2011,131,88,61,-4,38
1+1,Beyoncé,dance pop,2011,63,38,30,-7,26
Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,39
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,70
Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,89
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,73
S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,89
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,57
Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,9
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,58
Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,19
Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,59
Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,56
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,69
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,37
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,72
Firework,Katy Perry,dance pop,2011,124,83,64,-5,65
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,53
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,30
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,87
Paradise,Coldplay,permanent wave,2012,140,59,45,-7,20
Payphone,Maroon 5,pop,2012,110,75,74,-5,55
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,89
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,68
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,66
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,92
Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,47
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,75
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,68
Try,P!nk,dance pop,2012,104,63,67,-7,55
Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,75
One More Night,Maroon 5,pop,2012,93,82,72,-3,62
Good Time,Owl City,pop,2012,126,87,56,-4,68
Glad You Came,The Wanted,boy band,2012,127,85,72,-4,45
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,53
International Love,Pitbull,dance pop,2012,120,86,67,-3,65
Some Nights,fun.,baroque pop,2012,108,74,67,-7,39
Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,33
Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,77
Domino,Jessie J,australian pop,2012,127,55,76,-5,78
Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,44
Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,57
The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,88
Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,71
Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,64
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,78
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,38,-6,74
Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,39
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,95
You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,86
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,-3,80
It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,48
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,75
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,69
Wake Me Up,Avicii,big room,2013,124,78,53,-6,64
Story of My Life,One Direction,boy band,2013,121,66,60,-6,29
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,44
Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,63
Roar,Katy Perry,dance pop,2013,180,77,55,-5,46
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,48
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,44
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,86
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,35
Impossible,James Arthur,pop,2013,170,70,38,-5,30
Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,84
Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,50
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,75
Die Young,Kesha,dance pop,2013,128,70,71,-5,80
Clarity,Zedd,complextro,2013,128,78,51,-3,18
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,11
Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,51
Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,73
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,29
Best Song Ever,One Direction,boy band,2013,118,88,65,-3,49
Kiss You,One Direction,boy band,2013,90,93,63,-3,91
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,58
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,67
Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,85
Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,76
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,88
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,54
Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,23
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,25
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,-7,66
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,16
The Way,Ariana Grande,dance pop,2013,82,88,65,-3,86
Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,36
#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,40
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,82
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,68
Daylight,Maroon 5,pop,2013,120,67,66,-5,37
Love Somebody,Maroon 5,pop,2013,120,78,68,-6,40
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,52
Move,Little Mix,dance pop,2013,121,74,85,-5,77
Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,43
Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,67
Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,58
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,65
Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,35
Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,59
Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,23
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,34
TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,49
Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,58
Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,65
We Own The Night,The Wanted,boy band,2013,104,94,55,-4,56
Atlas - From ?�The Hunger Games: Catching Fire??Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11
What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,28
Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,33
Applause,Lady Gaga,dance pop,2013,140,78,67,-4,73
Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,38
Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,66
