face,upright,reversal
"Ace","clarity, breakthrough, new idea, concentration, vision, force, focus, truth","confusion, miscommunication, hostility, arguments, destruction, brutality"
"Two","stalemate, difficult choices, stuck in the middle, denial, hidden information","indecision, hesitancy, anxiety, too much information, no right choice, truth revealed"
"Three","heartbreak, separation, sadness, grief, sorrow, upset, loss, trauma, tears","healing, forgiveness, recovery, reconciliation, repressing emotions"
"Four","rest, relaxation, peace, sanctuary, recuperation, self-protection, rejuvenation","recovery, awakening, re-entering world, release from isolation, restlessness, burnout"
"Five","arguments, disputes, aggression, bullying, intimidation, conflict, hostility, stress","reconciliation, resolution, compromise, revenge, regret, remorse, cutting losses"
"Six","moving on, departure, leaving behind, distance, accepting lessons","stuck in past, returning to trouble, running away from problems, trapped"
"Seven","lies, trickery, scheming, strategy, resourcefulness, sneakiness, cunning","confession, conscience, regret, maliciousness, truth revealed"
"Eight","trapped, restricted, victimised, paralysed, helpless, powerless, imprisonment","freedom, release, taking control, survivor, facing fears, empowered, surrender"
"Nine","fear, anxiety, negativity, breaking point, despair, nightmares, isolation","recovery, learning to cope, facing life, finding help, shame, guilt, mental health issues"
"Ten","ruin, failure, bitterness, collapse, exhaustion, dead end, victimisation, betrayal","survival, improvement, healing, lessons learned, despair, relapse"
"Page","curious, witty, chatty, communicative, inspired, vigilant, alert, mental agility","scatterbrained, cynical, sarcastic, gossipy, insulting, rude, lack of planning"
"Knight","assertive, direct, impatient, intellectual, daring, focused, perfectionist, ambitious","rude, tactless, forceful, bully, aggressive, vicious, ruthless, arrogant"
"Queen","honest, independent, principled, fair, constructive criticism, objective, perceptive","pessimistic, malicious, manipulative, harsh, bitter, spiteful, cruel, deceitful, unforgiving"
"King","reason, authority, discipline, integrity, morality, serious, high standards, strict","irrational, dictator, oppressive, inhumane, controlling, cold, ruthless, dishonest"
